"symbol","date","adjusted"
"AAPL",2018-02-14,39.4393692016602
"AAPL",2018-02-15,40.7636756896973
"AAPL",2018-02-16,40.6317138671875
"AAPL",2018-02-20,40.4950408935547
"AAPL",2018-02-21,40.3112335205078
"AAPL",2018-02-22,40.6481857299805
"AAPL",2018-02-23,41.3551254272461
"AAPL",2018-02-26,42.1728057861328
"AAPL",2018-02-27,42.0361289978027
"AAPL",2018-02-28,41.9725074768066
"AAPL",2018-03-01,41.2373046875
"AAPL",2018-03-02,41.5224380493164
"AAPL",2018-03-05,41.6661796569824
"AAPL",2018-03-06,41.6308364868164
"AAPL",2018-03-07,41.2443733215332
"AAPL",2018-03-08,41.6944541931152
"AAPL",2018-03-09,42.4107971191406
"AAPL",2018-03-12,42.8208312988281
"AAPL",2018-03-13,42.408447265625
"AAPL",2018-03-14,42.0479278564453
"AAPL",2018-03-15,42.0974006652832
"AAPL",2018-03-16,41.9489479064941
"AAPL",2018-03-19,41.3080024719238
"AAPL",2018-03-20,41.2938652038574
"AAPL",2018-03-21,40.3583679199219
"AAPL",2018-03-22,39.7881202697754
"AAPL",2018-03-23,38.8667526245117
"AAPL",2018-03-26,40.7118339538574
"AAPL",2018-03-27,39.6679458618164
"AAPL",2018-03-28,39.2296485900879
"AAPL",2018-03-29,39.5359764099121
"AAPL",2018-04-02,39.2767562866211
"AAPL",2018-04-03,39.6797142028809
"AAPL",2018-04-04,40.4384803771973
"AAPL",2018-04-05,40.7188987731934
"AAPL",2018-04-06,39.6773643493652
"AAPL",2018-04-09,40.0708847045898
"AAPL",2018-04-10,40.8249435424805
"AAPL",2018-04-11,40.6340599060059
"AAPL",2018-04-12,41.0346565246582
"AAPL",2018-04-13,41.1736907958984
"AAPL",2018-04-16,41.430534362793
"AAPL",2018-04-17,42.000789642334
"AAPL",2018-04-18,41.9065361022949
"AAPL",2018-04-19,40.7188987731934
"AAPL",2018-04-20,39.0505485534668
"AAPL",2018-04-23,38.937442779541
"AAPL",2018-04-24,38.3954658508301
"AAPL",2018-04-25,38.5627746582031
"AAPL",2018-04-26,38.6970977783203
"AAPL",2018-04-27,38.2493782043457
"AAPL",2018-04-30,38.9421501159668
"AAPL",2018-05-01,39.8470344543457
"AAPL",2018-05-02,41.6072654724121
"AAPL",2018-05-03,41.682674407959
"AAPL",2018-05-04,43.3180313110352
"AAPL",2018-05-07,43.6314315795898
"AAPL",2018-05-08,43.8411674499512
"AAPL",2018-05-09,44.1498413085938
"AAPL",2018-05-10,44.7813606262207
"AAPL",2018-05-11,44.6110458374023
"AAPL",2018-05-14,44.506965637207
"AAPL",2018-05-15,44.1024513244629
"AAPL",2018-05-16,44.5140609741211
"AAPL",2018-05-17,44.2325592041016
"AAPL",2018-05-18,44.0717124938965
"AAPL",2018-05-21,44.3839569091797
"AAPL",2018-05-22,44.2727699279785
"AAPL",2018-05-23,44.5566444396973
"AAPL",2018-05-24,44.506965637207
"AAPL",2018-05-25,44.6086883544922
"AAPL",2018-05-29,44.4478225708008
"AAPL",2018-05-30,44.3532066345215
"AAPL",2018-05-31,44.204174041748
"AAPL",2018-06-01,45.001350402832
"AAPL",2018-06-04,45.3774604797363
"AAPL",2018-06-05,45.7275505065918
"AAPL",2018-06-06,45.8860511779785
"AAPL",2018-06-07,45.7630462646484
"AAPL",2018-06-08,45.3467063903809
"AAPL",2018-06-11,45.2355346679688
"AAPL",2018-06-12,45.4839096069336
"AAPL",2018-06-13,45.1101608276367
"AAPL",2018-06-14,45.1338272094727
"AAPL",2018-06-15,44.6701774597168
"AAPL",2018-06-18,44.6465301513672
"AAPL",2018-06-19,43.9250526428223
"AAPL",2018-06-20,44.1166610717773
"AAPL",2018-06-21,43.8706474304199
"AAPL",2018-06-22,43.7429161071777
"AAPL",2018-06-25,43.092399597168
"AAPL",2018-06-26,43.6269989013672
"AAPL",2018-06-27,43.5631256103516
"AAPL",2018-06-28,43.8801002502441
"AAPL",2018-06-29,43.7878494262695
"AAPL",2018-07-02,44.277515411377
"AAPL",2018-07-03,43.5063514709473
"AAPL",2018-07-05,43.8564453125
"AAPL",2018-07-06,44.4643745422363
"AAPL",2018-07-09,45.0817756652832
"AAPL",2018-07-10,45.0273780822754
"AAPL",2018-07-11,44.4430923461914
"AAPL",2018-07-12,45.1882247924805
"AAPL",2018-07-13,45.2591896057129
"AAPL",2018-07-16,45.1598320007324
"AAPL",2018-07-17,45.2875709533691
"AAPL",2018-07-18,45.0391845703125
"AAPL",2018-07-19,45.3893089294434
"AAPL",2018-07-20,45.285213470459
"AAPL",2018-07-23,45.3254280090332
"AAPL",2018-07-24,45.6542358398438
"AAPL",2018-07-25,46.0847587585449
"AAPL",2018-07-26,45.9404525756836
"AAPL",2018-07-27,45.176399230957
"AAPL",2018-07-30,44.9232902526855
"AAPL",2018-07-31,45.0131874084473
"AAPL",2018-08-01,47.6649208068848
"AAPL",2018-08-02,49.0581817626953
"AAPL",2018-08-03,49.2001266479492
"AAPL",2018-08-06,49.4555969238281
"AAPL",2018-08-07,48.9919662475586
"AAPL",2018-08-08,49.0250625610352
"AAPL",2018-08-09,49.4106407165527
"AAPL",2018-08-10,49.2634773254395
"AAPL",2018-08-13,49.5815696716309
"AAPL",2018-08-14,49.7904624938965
"AAPL",2018-08-15,49.9067726135254
"AAPL",2018-08-16,50.6379127502441
"AAPL",2018-08-17,51.6491394042969
