"date","AAPL","MELI","KO","PFE","TM"
"2019-02-25",41.6810302734375,375.089996337891,36.7708854675293,30.9795665740967,105.050468444824
"2019-02-26",41.7049446105957,369.489990234375,36.5663299560547,30.9364242553711,105.754196166992
"2019-02-27",41.8341445922852,446.679992675781,36.7708854675293,30.8716926574707,104.973243713379
"2019-02-28",41.4226570129395,458.790008544922,37.0981750488281,31.1737365722656,103.874755859375
"2019-03-01",41.8580589294434,451.640014648438,37.1308975219727,31.1809177398682,103.274032592773
"2019-03-04",42.0685844421387,463.799987792969,37.3518218994141,30.9723701477051,101.626304626465
"2019-03-05",41.9920349121094,467.769989013672,37.3109130859375,30.8429374694824,101.48900604248
"2019-03-06",41.7504119873047,461.529998779297,37.1881790161133,30.1022453308105,101.248710632324
"2019-03-07",41.2671546936035,451.149993896484,37.0490798950195,29.7642574310303,100.613662719727
"2019-03-08",41.3652420043945,449.589996337891,36.6890678405762,29.4047069549561,101.016998291016
"2019-03-11",42.7982482910156,481.109985351562,37.7854804992676,29.8433628082275,102.235618591309
"2019-03-12",43.2790832519531,483.480010986328,37.6791000366211,30.0087585449219,101.918098449707
"2019-03-13",43.4704742431641,507.929992675781,37.8181991577148,30.2101135253906,102.390098571777
"2019-03-14",43.9537048339844,493.790008544922,37.7191581726074,29.6204395294189,101.008407592773
"2019-03-15",44.5254707336426,488.730010986328,37.3890190124512,30.0447196960449,102.09831237793
"2019-03-18",44.9800148010254,484.970001220703,37.479808807373,30.0662899017334,102.561729431152
"2019-03-19",44.6235427856445,482.359985351562,37.6036109924316,30.4186592102051,102.750541687012
"2019-03-20",45.0135040283203,497.950012207031,37.5788459777832,30.3251762390137,102.69905090332
"2019-03-21",46.6713562011719,504.480010986328,37.5623435974121,30.4546089172363,103.359840393066
"2019-03-22",45.7048797607422,497.369995117188,37.9090003967285,30.0950527191162,103.171058654785
"2019-03-25",45.1522560119629,491.299987792969,37.9915351867676,30.1238136291504,103.40274810791
"2019-03-26",44.6857528686523,493.899993896484,38.4950065612793,30.5049514770508,104.50122833252
"2019-03-27",45.0876617431641,484.940002441406,38.4702415466309,30.217306137085,103.866172790527
"2019-03-28",45.1474685668945,497.149993896484,38.445484161377,30.4114723205566,102.184127807617
"2019-03-29",45.4417190551758,507.730010986328,38.676586151123,30.5409030914307,101.28303527832
"2019-04-01",45.7503280639648,518.109985351562,38.5610389709473,30.806978225708,102.879272460938
"2019-04-02",46.4153900146484,509.989990234375,38.4372253417969,30.8573150634766,103.540084838867
"2019-04-03",46.7335739135742,508.579986572266,38.1153373718262,30.806978225708,103.900505065918
"2019-04-04",46.8149070739746,501.480010986328,38.3629379272461,30.7350730895996,104.767272949219
"2019-04-05",47.128288269043,502.850006103516,38.3546981811523,30.9148483276367,105.162033081055
"2019-04-08",47.8699111938477,506.5,38.4207153320312,31.0227165222168,104.904579162598
"2019-04-09",47.7263717651367,505.179992675781,38.5197639465332,30.806978225708,104.750114440918
"2019-04-10",47.9943084716797,514.340026855469,38.4950065612793,30.727876663208,104.853088378906
"2019-04-11",47.594799041748,503.730010986328,38.5527877807617,30.3970813751221,103.874755859375
"2019-04-12",47.5756568908691,504.519989013672,38.5775375366211,29.9943771362305,105.041893005371
"2019-04-15",47.6617584228516,513.679992675781,38.7921371459961,30.2676391601562,104.672874450684
"2019-04-16",47.6665649414062,501.959991455078,38.7508773803711,29.42626953125,104.484077453613
"2019-04-17",48.5947761535645,498.380004882812,39.0232276916504,28.6783962249756,106.483642578125
"2019-04-18",48.7694091796875,492,39.1883010864258,28.3188304901123,107.410491943359
"2019-04-22",48.9296875,490.769989013672,39.1222877502441,28.0311870574951,106.552307128906
"2019-04-23",49.6354217529297,500,39.790828704834,28.347599029541,107.221672058105
"2019-04-24",49.5588722229004,486.010009765625,39.6009941101074,28.3116455078125,105.453811645508
"2019-04-25",49.1091156005859,487.570007324219,39.4854469299316,28.4842357635498,105.719856262207
"2019-04-26",48.8746719360352,489.519989013672,39.832088470459,28.7431125640869,106.088882446289
"2019-04-29",48.9488296508789,494.160003662109,39.9641494750977,28.4698486328125,106.251930236816
"2019-04-30",48.0062713623047,484.140014648438,40.4923934936523,29.2033519744873,106.071708679199
"2019-05-01",50.3626899719238,484.730010986328,40.1044654846191,29.3184032440186,105.488151550293
"2019-05-02",50.0349388122559,482.350006103516,39.9393920898438,29.4909934997559,105.204940795898
"2019-05-03",50.6569442749023,578.940002441406,40.2117614746094,29.7642574310303,106.114631652832
"2019-05-06",49.8746566772461,567.690002441406,40.0054206848145,29.9512233734131,105.539627075195
"2019-05-07",48.5301818847656,539.409973144531,39.6174926757812,29.36155128479,105.127716064453
"2019-05-08",48.5397453308105,536.059997558594,39.4936943054199,29.4478435516357,104.492660522461
"2019-05-09",48.0182342529297,542.640014648438,39.1222877502441,29.4841270446777,102.39867401123
"2019-05-10",47.3530082702637,557.840026855469,39.7743072509766,29.5421657562256,102.355773925781
"2019-05-13",44.6008758544922,543.030029296875,39.6587677001953,29.4333419799805,101.48900604248
"2019-05-14",45.3069267272949,562.690002441406,40.18701171875,29.4986362457275,102.184127807617
"2019-05-15",45.8496627807617,572.929992675781,40.5914268493652,29.854133605957,103.531494140625
"2019-05-16",45.6479454040527,595.72998046875,40.9215774536133,30.2096252441406,102.896423339844
